model,rank,token,count
DeepSeek-r1:8B,1,support,990
DeepSeek-r1:8B,2,community,947
DeepSeek-r1:8B,3,wellness,780
DeepSeek-r1:8B,4,land,716
DeepSeek-r1:8B,5,based,690
DeepSeek-r1:8B,6,help,673
DeepSeek-r1:8B,7,local,672
DeepSeek-r1:8B,8,mental,602
DeepSeek-r1:8B,9,health,559
DeepSeek-r1:8B,10,activities,532
LLaMA-3.2:latest,1,support,1553
LLaMA-3.2:latest,2,mental,1072
LLaMA-3.2:latest,3,options,1062
LLaMA-3.2:latest,4,based,1000
LLaMA-3.2:latest,5,community,957
LLaMA-3.2:latest,6,wellness,937
LLaMA-3.2:latest,7,crisis,854
LLaMA-3.2:latest,8,you're,743
LLaMA-3.2:latest,9,local,713
LLaMA-3.2:latest,10,help,667
Mistral-7B,1,wellness,1316
Mistral-7B,2,support,1283
Mistral-7B,3,mental,1156
Mistral-7B,4,help,1006
Mistral-7B,5,crisis,912
Mistral-7B,6,healing,851
Mistral-7B,7,based,821
Mistral-7B,8,services,795
Mistral-7B,9,community,788
Mistral-7B,10,local,730
